469,Accounting life,The lifetime of an asset as determined by accounting methods.,EM558,0
470,Accrual Accounting,"A method of accounting often used in business, where expenses and revenues are entered when earned or billed, not when payment is received or disbursed.",EM558,0
471,ACRS,"Accelerated Cost Recovery System: A 1981 US tax law providing a system of accelerated straight-line depreciation in four tax classes with 3-, 5-, 10- and 15-year life. 7- and 20-year property lives were added in 1986. Alternatively, longer depreciation lives may be used.",EM558,0
472,ADR,Asset Depreciation Range: A set of ranges of useful depreciation lifetimes for various types of assets. These were established by the US IRS.,EM558,0
473,Ad Valorem Taxes,"From the Latin meaning literally according to the worth. Also known as property taxes and other taxes, these taxes usually recur annually and receive the same mathematical treatment in an economic study as expenses like maintenance and repairs.",EM558,0
474,AEC,"Annual Equivalent Costs: AEC is the annual equivalent of PWAC: AEC = PWAC (A/P,i,N). An AEC study is similar to an Annual Cost study but with fewer constraints.",EM558,0
475,Amortization,"Capital asset case: The recovery of the capital cost of an asset by means of periodic charges to operations. Depreciation is an example. Dictionary: The gradual extinction of a debt by periodic repayments to a fund or creditor.  Engineering economics case: The repayment of capital for a project plus the return on capital while the capital is being used by the project, expressed as a uniform annual amount.",EM558,0
476,Annual Costs (AC),A type of comparative cost study where all relevant cash flows are converted into annual costs.,EM558,0
477,Annuity (A),A series of equal cash flows occurring each period over a range of periods.,EM558,0
478,Asset,"Items owned which may be convertible into cash including cash, accounts receivable, inventory, promissory notes, securities, machinery, tax credits, and real estate. Opposite of liability.",EM558,0
479,Asset Depreciation Range (ADR),A set of ranges of useful depreciation lifetimes for various types of assets. These were established by the US IRS.,EM558,0
480,Annual Equivalent Costs (AEC),"AEC is the annual equivalent of PWAC: AEC = PWAC (A/P,i,N). An AEC study is similar to an Annual Cost study but with fewer constraints.",EM558,0
481,Capital,1.     One of the cash flows as part of an economic study or a comparative cost study.    2. The monetary resources to establish and maintain a project.     3.  Wealth that may be used to economic advantage.,EM558,0
482,Capital Cost Allowance (CCA),"A method of depreciation for income tax purposes. Different types of goods are assigned various tax classes, each which has an assigned depreciation (or CCA) rate and life. Compare with CLADR and ADR.",EM558,0
483,Capital Recovery,"The process of repaying the net investment that has been put into a project. Includes net salvage, interest and principal repayment.",EM558,0
